mcid,movie_id,company_id,ctype,note
8058,31166,2195,production,
8059,31166,5358,production,
8060,31166,7799,production,
8061,31166,10031,production,
8062,31166,11444,production,
8063,31166,21605,production,
8064,31166,21606,production,
8065,69848,3631,production,
8066,69848,11601,production,
8067,69848,55465,production,
8068,69848,55776,production,
8069,69848,55777,production,
8070,69848,55778,production,
8071,8408,2482,production,
8072,8408,2483,production,
8073,8408,5822,production,
8074,332411,2373,production,
8075,332411,3084,production,
8076,332411,73316,production,
8077,332411,76777,production,
8078,9389,2203,production,
8079,9389,5381,production,
8080,9389,7089,production,
8081,9389,18367,production,
8082,9626,3418,production,
8083,9626,8411,production,
8084,9626,10308,production,
8085,75638,4908,production,
8086,75638,6538,production,
8087,75638,6778,production,
8088,75638,9335,production,
8089,75638,9974,production,
8090,75638,10254,production,
8091,75638,11068,production,
8092,75638,16055,production,
8093,75638,22862,production,
8094,75638,22863,production,
8095,75638,58260,production,
8096,8363,5,production,
8097,8363,10105,production,
8098,15670,35,production,
8099,15670,3096,production,
8100,290555,5106,production,
8101,290555,8147,production,
8102,290555,49925,production,
8103,8328,491,production,
8104,8328,2378,production,
8105,8328,9195,production,
8106,10982,308,production,
8107,10982,7580,production,
8108,10982,49126,production,
8109,205,35,production,
8110,205,60,production,
8111,205,564,production,
8112,205,1205,production,
8113,205,2760,production,
8114,205,7495,production,
8115,205,11912,production,
8116,205,19834,production,
8117,1620,306,production,
8118,1620,444,production,
8119,1620,867,production,
8120,1620,6896,production,
8121,1620,11746,production,
8122,1620,11747,production,
8123,175541,43,production,
8124,175541,85720,production,
8125,241254,3604,production,
8126,241254,10405,production,
8127,241254,33831,production,
8128,241254,33832,production,
8129,1933,44,production,
8130,1933,104,production,
8131,1933,692,production,
8132,1933,778,production,
8133,1933,779,production,
8134,1933,7405,production,
8135,1933,53009,production,
8136,679,306,production,
8137,679,396,production,
8138,679,19747,production,
8139,11113,6194,production,
8140,3597,441,production,
8141,3597,1236,production,
8142,3597,1464,production,
8143,193893,306,production,
8144,193893,28787,production,
8145,193893,28788,production,
8146,9675,43,production,
8147,9675,1187,production,
8148,9675,12157,production,
8149,9988,2773,production,
8150,948,14323,production,
8151,948,22814,production,
8152,21765,6255,production,
8153,21765,8411,production,
