movie_id,title,release
205775,In the Heart of the Sea,2015
11692,The Adventures of Pluto Nash,2002
22972,Green Zone,2010
227973,The Peanuts Movie,2015
29193,The Spanish Prisoner,1997
1734,The Mummy Returns,2001
3131,Gangs of New York,2002
76758,The Flowers of War,2011
9408,Surf's Up,2007
9890,The Stepford Wives,2004
855,Black Hawk Down,2001
77953,The Campaign,2012
18,The Fifth Element,1997
37786,Sex and the City 2,2010
10501,The Road to El Dorado,2000
57800,Ice Age: Continental Drift,2012
150689,Cinderella,2015
7980,The Lovely Bones,2009
12,Finding Nemo,2003
122,The Lord of the Rings: The Return of the King,2003
121,The Lord of the Rings: The Two Towers,2002
68737,Seventh Son,2014
1995,Lara Croft: Tomb Raider,2001
157353,Transcendence,2014
331,Jurassic Park III,2001
61791,Rise of the Planet of the Apes,2011
8204,The Spiderwick Chronicles,2008
47964,A Good Day to Die Hard,2013
10733,The Alamo,2004
9806,The Incredibles,2004
1408,Cutthroat Island,1995
32657,Percy Jackson & the Olympians: The Lightning Thief,2010
607,Men in Black,1997
863,Toy Story 2,1999
44048,Unstoppable,2010
5175,Rush Hour 2,2001
2655,What Lies Beneath,2000
22794,Cloudy with a Chance of Meatballs,2009
8355,Ice Age: Dawn of the Dinosaurs,2009
116745,The Secret Life of Walter Mitty,2013
4327,Charlie's Angels,2000
1422,The Departed,2006
10674,Mulan,1998
7446,Tropic Thunder,2008
65754,The Girl with the Dragon Tattoo,2011
1572,Die Hard: With a Vengeance,1995
10528,Sherlock Holmes,2009
271969,Ben-Hur,2016
10865,Atlantis: The Lost Empire,2001
258509,Alvin and the Chipmunks: The Road Chip,2015
2253,Valkyrie,2008
10661,You Don't Mess with the Zohan,2008
257344,Pixels,2015
644,A.I. Artificial Intelligence,2001
10756,The Haunted Mansion,2003
686,Contact,1997
9383,Hollow Man,2000
179,The Interpreter,2005
76285,Percy Jackson: Sea of Monsters,2013
1996,Lara Croft Tomb Raider: The Cradle of Life,2003
291805,Now You See Me 2,2016
10003,The Saint,1997
1535,Spy Game,2001
2067,Mission to Mars,2000
46195,Rio,2011
2277,Bicentennial Man,1999
10357,Volcano,1997
4477,The Devil's Own,1997
8665,K-19: The Widowmaker,2002
9387,Conan the Barbarian,1982
921,Cinderella Man,2005
49852,The Nutcracker: The Untold Story,2010
4464,Seabiscuit,2003
664,Twister,1996
8358,Cast Away,2000
9836,Happy Feet,2006
2502,The Bourne Supremacy,2004
9772,Air Force One,1997
161,Ocean's Eleven,2001
52451,The Three Musketeers,2011
76492,Hotel Transylvania,2012
4523,Enchanted,2007
59961,Safe House,2012
10481,102 Dalmatians,2000
59108,Tower Heist,2011
1581,The Holiday,2006
9798,Enemy of the State,1998
22897,It's Complicated,2009
298,Ocean's Thirteen,2007
7484,Open Season,2006
157350,Divergent,2014
853,Enemy at the Gates,2001
10159,The Rundown,2003
9593,Last Action Hero,1993
1904,Memoirs of a Geisha,2005
9615,The Fast and the Furious: Tokyo Drift,2006
51052,Arthur Christmas,2011
297,Meet Joe Black,1998
9884,Collateral Damage,2002
16858,All That Jazz,1979
62764,Mirror Mirror,2012
22538,Scott Pilgrim vs. the World,2010
9341,The Core,2003
12107,Nutty Professor II: The Klumps,2000
9637,Scooby-Doo,2002
49049,Dredd,2012
9339,Click,2006
16281,Creepshow,1982
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,2010
8247,Jumper,2008
11253,Hellboy II: The Golden Army,2008
1949,Zodiac,2007
8452,The 6th Day,2000
310,Bruce Almighty,2003
27578,The Expendables,2010
954,Mission: Impossible,1996
70160,The Hunger Games,2012
45243,The Hangover Part II,2011
364,Batman Returns,1992
7518,Over the Hedge,2006
11544,Lilo & Stitch,2002
9986,Charlotte's Web,2006
8656,Deep Impact,1998
146216,RED 2,2013
9291,The Longest Yard,2005
55301,Alvin and the Chipmunks: Chipwrecked,2011
109418,Grown Ups 2,2013
11665,Get Smart,2008
6964,Something's Gotta Give,2003
11324,Shutter Island,2010
12193,Four Christmases,2008
9928,Robots,2005
754,Face/Off,1997
10202,Bedtime Stories,2008
4147,Road to Perdition,2002
50546,Just Go with It,2011
1701,Con Air,1997
13027,Eagle Eye,2008
2289,Cold Mountain,2003
20504,The Book of Eli,2010
9574,Flubber,1997
11618,The Haunting,1999
2300,Space Jam,1996
12096,The Pink Panther,2006
10200,The Day the Earth Stood Still,2008
8834,Conspiracy Theory,1997
228150,Fury,2014
6068,Six Days Seven Nights,1998
41515,Yogi Bear,2010
9023,Spirit: Stallion of the Cimarron,2002
38317,Zookeeper,2011
2157,Lost in Space,1998
14462,The Manchurian Candidate,2004
161795,Déjà Vu,1998
159824,Hotel Transylvania 2,2015
49948,Fantasia 2000,1999
2135,The Time Machine,2002
9822,Mighty Joe Young,1998
9705,Swordfish,2001
1656,The Legend of Zorro,2005
12159,What Dreams May Come,1998
9678,Little Nicky,2000
4442,The Brothers Grimm,2005
75,Mars Attacks!,1996
330770,Evolution,2015
9433,The Edge,1997
19959,Surrogates,2009
11973,Thirteen Days,2000
11228,Daylight,1996
77951,Walking With Dinosaurs,2013
5491,Battlefield Earth,2000
10715,Looney Tunes: Back in Action,2003
10197,Nine,2009
9562,Timeline,2003
9922,The Postman,1997
9447,Babe: Pig in the City,1998
274854,The Last Witch Hunter,2015
8870,Red Planet,2000
9992,Arthur and the Invisibles,2006
36970,Oceans,2009
10077,A Sound of Thunder,2005
76649,Pompeii,2014
293644,Top Cat Begins,2015
453,A Beautiful Mind,2001
8587,The Lion King,1994
72545,Journey 2: The Mysterious Island,2012
109451,Cloudy with a Chance of Meatballs 2,2013
9533,Red Dragon,2002
2023,Hidalgo,2004
71880,Jack and Jill,2011
584,2 Fast 2 Furious,2003
309809,The Little Prince,2015
4858,The Invasion,2007
17711,The Adventures of Rocky & Bullwinkle,2000
328111,The Secret Life of Pets,2016
8698,The League of Extraordinary Gentlemen,2003
93456,Despicable Me 2,2013
602,Independence Day,1996
330,The Lost World: Jurassic Park,1997
953,Madagascar,2005
9693,Children of Men,2006
36657,X-Men,2000
8909,Wanted,2008
9802,The Rock,1996
950,Ice Age: The Meltdown,2006
