movie_id,title,release,vote_average,vote_count
1895,Star Wars: Episode III - Revenge of the Sith,2005,7.1,4116
1894,Star Wars: Episode II - Attack of the Clones,2002,6.4,3992
585,"Monsters, Inc.",2001,7.5,5996
76170,The Wolverine,2013,6.3,4053
1893,Star Wars: Episode I - The Phantom Menace,1999,6.3,4432
49519,The Croods,2013,6.8,2399
2395,Asterix at the Olympic Games,2008,5,471
12100,Windtalkers,2002,5.8,341
290595,The Huntsman: Winter's War,2016,6,1523
98566,Teenage Mutant Ninja Turtles,2014,5.8,2636
49047,Gravity,2013,7.3,5751
9619,Dante's Peak,1997,5.7,428
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.8,963
166424,Fantastic Four,2015,4.4,2278
1593,Night at the Museum,2006,6.3,2862
254128,San Andreas,2015,6,2968
2024,The Patriot,2000,6.8,1099
163,Ocean's Twelve,2004,6.4,2124
787,Mr. & Mrs. Smith,2005,6.5,2965
2567,The Aviator,2004,7,1489
38745,Gulliver's Travels,2010,4.9,621
40805,The Green Hornet,2011,5.5,1251
53182,300: Rise of an Empire,2014,6.1,2397
41513,The Smurfs,2011,5.5,1179
13700,Home on the Range,2004,5.7,389
39254,Real Steel,2011,6.6,2692
77931,The Smurfs 2,2013,5.5,695
80274,Ender's Game,2013,6.6,2303
1571,Live Free or Die Hard,2007,6.4,2089
120,The Lord of the Rings: The Fellowship of the Ring,2001,8,8705
10204,Around the World in 80 Days,2004,5.7,672
8489,Ali,2001,6.7,447
10588,The Cat in the Hat,2003,4.9,366
2048,"I, Robot",2004,6.7,3793
1495,Kingdom of Heaven,2005,6.6,1157
10137,Stuart Little,1999,5.8,959
286217,The Martian,2015,7.6,7268
1635,The Island,2005,6.5,1770
24113,Town & Country,2001,3.7,16
9679,Gone in Sixty Seconds,2000,6.1,1485
98,Gladiator,2000,7.9,5439
180,Minority Report,2002,7.1,2608
672,Harry Potter and the Chamber of Secrets,2002,7.4,5815
36557,Casino Royale,2006,7.3,3855
869,Planet of the Apes,2001,5.6,1243
11322,Public Enemies,2009,6.5,1344
4982,American Gangster,2007,7.4,1502
18487,The Taking of Pelham 1 2 3,2009,6.2,954
39451,Little Fockers,2010,5.4,1060
27581,The Other Guys,2010,6.1,1383
68718,Django Unchained,2012,7.8,10099
10545,The Hunchback of Notre Dame,1996,6.8,1129
11688,The Emperor's New Groove,2000,7.2,1490
76163,The Expendables 2,2012,6.1,2896
2059,National Treasure,2004,6.4,1926
2486,Eragon,2006,4.9,967
16523,Where the Wild Things Are,2009,6.4,572
116711,Epic,2013,6.4,1121
37710,The Tourist,2010,6,1699
9946,End of Days,1999,5.5,482
1372,Blood Diamond,2006,7.3,2281
106646,The Wolf of Wall Street,2013,7.9,6571
83542,Cloud Atlas,2012,6.6,2977
41216,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.5,703
314,Catwoman,2004,4.2,808
184315,Hercules,2014,5.6,1680
9016,Treasure Planet,2002,7.2,948
18162,Land of the Lost,2009,5.3,381
138103,The Expendables 3,2014,6.1,1795
257088,Point Break,2015,5.5,783
10214,Son of the Mask,2005,3.6,338
205775,In the Heart of the Sea,2015,6.5,1276
11692,The Adventures of Pluto Nash,2002,4.4,142
22972,Green Zone,2010,6.4,717
227973,The Peanuts Movie,2015,6.5,604
29193,The Spanish Prisoner,1997,7.1,73
1734,The Mummy Returns,2001,6,2206
3131,Gangs of New York,2002,7.1,1910
76758,The Flowers of War,2011,7.1,187
9408,Surf's Up,2007,5.9,601
9890,The Stepford Wives,2004,5.4,334
77953,The Campaign,2012,5.6,578
37786,Sex and the City 2,2010,5.4,426
10501,The Road to El Dorado,2000,7,858
57800,Ice Age: Continental Drift,2012,6.2,2672
7980,The Lovely Bones,2009,6.6,1065
12,Finding Nemo,2003,7.6,6122
122,The Lord of the Rings: The Return of the King,2003,8.1,8064
121,The Lord of the Rings: The Two Towers,2002,8,7487
68737,Seventh Son,2014,5.2,957
1995,Lara Croft: Tomb Raider,2001,5.7,2192
157353,Transcendence,2014,5.9,2295
331,Jurassic Park III,2001,5.7,2077
61791,Rise of the Planet of the Apes,2011,7,4347
8204,The Spiderwick Chronicles,2008,6.3,572
47964,A Good Day to Die Hard,2013,5.2,3493
10733,The Alamo,2004,5.8,106
9806,The Incredibles,2004,7.4,5152
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,6,2010
607,Men in Black,1997,6.9,4412
863,Toy Story 2,1999,7.3,3806
44048,Unstoppable,2010,6.3,1165
5175,Rush Hour 2,2001,6.4,1054
2655,What Lies Beneath,2000,6.3,488
22794,Cloudy with a Chance of Meatballs,2009,6.5,1747
8355,Ice Age: Dawn of the Dinosaurs,2009,6.5,2271
116745,The Secret Life of Walter Mitty,2013,7,3144
4327,Charlie's Angels,2000,5.6,1232
10674,Mulan,1998,7.6,2008
7446,Tropic Thunder,2008,6.5,1667
65754,The Girl with the Dragon Tattoo,2011,7.2,2434
1572,Die Hard: With a Vengeance,1995,6.9,2066
10528,Sherlock Holmes,2009,7,5766
271969,Ben-Hur,2016,5.3,621
10865,Atlantis: The Lost Empire,2001,6.7,1224
258509,Alvin and the Chipmunks: The Road Chip,2015,5.8,428
2253,Valkyrie,2008,6.7,1173
10661,You Don't Mess with the Zohan,2008,5.5,1048
257344,Pixels,2015,5.6,2513
644,A.I. Artificial Intelligence,2001,6.8,1974
10756,The Haunted Mansion,2003,5.2,466
9383,Hollow Man,2000,5.6,634
179,The Interpreter,2005,6.2,392
76285,Percy Jackson: Sea of Monsters,2013,5.9,1648
1996,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,1418
291805,Now You See Me 2,2016,6.7,3235
1535,Spy Game,2001,6.8,579
2067,Mission to Mars,2000,5.7,369
46195,Rio,2011,6.5,2166
2277,Bicentennial Man,1999,6.9,963
4477,The Devil's Own,1997,5.9,290
8665,K-19: The Widowmaker,2002,6.1,264
9387,Conan the Barbarian,1982,6.6,650
921,Cinderella Man,2005,7.3,616
49852,The Nutcracker: The Untold Story,2010,5.4,50
4464,Seabiscuit,2003,6.7,216
8358,Cast Away,2000,7.5,3218
9836,Happy Feet,2006,5.9,1410
2502,The Bourne Supremacy,2004,7.2,2825
161,Ocean's Eleven,2001,7.2,3783
52451,The Three Musketeers,2011,5.6,924
76492,Hotel Transylvania,2012,6.8,2566
4523,Enchanted,2007,6.6,1449
59961,Safe House,2012,6.3,1345
10481,102 Dalmatians,2000,5.1,313
59108,Tower Heist,2011,5.8,932
1581,The Holiday,2006,6.7,1225
22897,It's Complicated,2009,6.2,360
298,Ocean's Thirteen,2007,6.5,1999
7484,Open Season,2006,6.1,656
853,Enemy at the Gates,2001,7.2,999
10159,The Rundown,2003,6.4,514
1904,Memoirs of a Geisha,2005,7.3,652
9615,The Fast and the Furious: Tokyo Drift,2006,6.1,1705
51052,Arthur Christmas,2011,6.7,333
297,Meet Joe Black,1998,6.9,1147
9884,Collateral Damage,2002,5.5,427
62764,Mirror Mirror,2012,5.5,1114
22538,Scott Pilgrim vs. the World,2010,7.2,2126
9341,The Core,2003,5.4,516
12107,Nutty Professor II: The Klumps,2000,4.7,332
9637,Scooby-Doo,2002,5.4,820
49049,Dredd,2012,6.6,1940
9339,Click,2006,6,2104
